Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
XJOVe2JJku8,4345,36,6,0,Education,2024-10-02T00:44:31Z
nA2_5BrOHwQ,357,17,14,0,Education,2024-10-02T00:44:31Z
m_34mufafYY,5641,332,70,0,Education,2024-10-02T00:44:31Z
htg86Rouwyc,380,10,0,0,Education,2024-10-02T00:44:31Z
gSDHqTbHTOg,2482,161,10,0,Education,2024-10-02T00:44:31Z
P2dP3NMgjNI,253,7,2,0,Education,2024-10-02T00:44:31Z
1ADoJdkPITo,1366,74,6,0,Education,2024-10-02T00:44:31Z
hfz72zRv_28,289,10,1,0,Education,2024-10-02T00:44:31Z
rxt3XcGzvaY,918,103,0,0,Education,2024-10-02T00:44:31Z
Fic8Jt4cJP4,224,4,0,0,Education,2024-10-02T00:44:31Z
JncTqREc-V8,235,7,0,0,Education,2024-10-02T00:44:31Z
qhGrFQNM35g,666,15,2,0,Education,2024-10-02T00:44:31Z
YfoofjaiNCk,316,9,3,0,Education,2024-10-02T00:44:31Z
g9zpicqd6mw,268,9,0,0,Education,2024-10-02T00:44:31Z
mwwTAZRgilM,304,6,0,0,Education,2024-10-02T00:44:31Z
l1F-YHSv6g8,321,6,1,0,Education,2024-10-02T00:44:31Z
MmQnaK1O0kQ,237,3,1,0,Education,2024-10-02T00:44:31Z
7EJ7XaBLAq0,276,7,1,0,Education,2024-10-02T00:44:31Z
e_Tj6Yhth_0,1358,76,3,0,Education,2024-10-02T00:44:31Z
hF3ikyuEQSI,729,5,0,0,Science & Technology,2024-10-02T00:44:31Z
a5-ZG6czBcY,32,1,0,0,Science & Technology,2024-10-02T00:44:31Z
qsbCBduIs40,6718,415,78,0,Education,2024-10-02T00:44:31Z
FJAl-lwgV3w,3519,96,2,0,Education,2024-10-02T00:44:31Z
zsVeneHIyDc,16,0,0,0,Howto & Style,2024-10-02T00:44:31Z
HlnOLiiilpI,13,2,0,0,Education,2024-10-02T00:44:31Z
Rq4BvI41imk,322,18,0,0,Education,2024-10-02T00:44:31Z
KntKLg5Dcjs,3326,96,2,0,Education,2024-10-02T00:44:31Z
RdjKuK938Qs,43,5,0,0,Education,2024-10-02T00:44:31Z
HRz_Uw44_a8,71,1,0,0,Science & Technology,2024-10-02T00:44:31Z
Tygk-DQbMKo,1481,79,13,0,Science & Technology,2024-10-02T00:44:31Z
2TOUo9hTA2w,386,34,3,0,Education,2024-10-02T00:44:31Z
4CY6_BDzoaA,154,5,0,0,Education,2024-10-02T00:44:31Z
guIU_lner54,364,26,5,0,Education,2024-10-02T00:44:31Z
v4CvBJtjTsY,8,0,0,0,Science & Technology,2024-10-02T00:44:31Z
z3OTVaSTRO0,12,0,0,0,Education,2024-10-02T00:44:31Z
NhUpOJqhxNI,376,7,0,0,Howto & Style,2024-10-02T00:44:31Z
wOVQOXB79nQ,537,12,0,0,Education,2024-10-02T00:44:31Z
tuAJzr3dNWY,3,1,0,0,People & Blogs,2024-10-02T00:44:31Z
mJkZI1NT0R0,5,1,0,0,People & Blogs,2024-10-02T00:44:31Z
ke_FOR-bh60,2,0,0,0,Gaming,2024-10-02T00:44:31Z
P6pl-5gWdxM,4,0,0,0,Science & Technology,2024-10-02T00:44:31Z
9kMzErPBu6E,585,37,10,0,Science & Technology,2024-10-02T00:44:31Z
83SDWFQtxCw,25,9,3,0,Education,2024-10-02T00:44:31Z
uW9aezq_9pQ,0,0,0,0,People & Blogs,2024-10-02T00:44:31Z
EfGH0U_6MaE,1,0,0,0,Gaming,2024-10-02T00:44:31Z
Rz3DGTBqDlQ,21,3,0,0,Science & Technology,2024-10-02T00:44:31Z
DYY0tOdhWvY,10,0,0,0,Education,2024-10-02T00:44:31Z
q6a5zBXk9C4,9,1,2,0,Howto & Style,2024-10-02T00:44:31Z
q0MZRhuyOdg,532,14,0,0,Education,2024-10-02T00:44:31Z
tN8VwHhkN48,33,3,1,0,Education,2024-10-02T00:44:31Z
q6a5zBXk9C4,9,1,2,0,Howto & Style,2024-10-02T00:44:31Z
tN8VwHhkN48,33,3,1,0,Education,2024-10-02T00:44:31Z
GDxv7kMDYmE,248,13,3,0,Education,2024-10-02T00:44:31Z
UXl__Q0A3yo,4,0,0,0,Education,2024-10-02T00:44:31Z
4uLgeM_zIbk,408,12,0,0,Education,2024-10-02T00:44:31Z
Vd_OOYaaE28,19,6,6,0,News & Politics,2024-10-02T00:44:31Z
zoS8jBwfnIg,44,2,0,0,Education,2024-10-02T00:44:31Z
RaDQoCci3co,22,4,1,0,Education,2024-10-02T00:44:31Z
95PIhPuvAcc,2,0,0,0,Education,2024-10-02T00:44:31Z
k6TJkfjBTTc,39,1,0,0,Science & Technology,2024-10-02T00:44:31Z
68_OaZSryC8,895,60,1,0,Science & Technology,2024-10-02T00:44:31Z
0R9O6d5rjiQ,14,1,0,0,People & Blogs,2024-10-02T00:44:31Z
noyVkZeRVFo,6,1,0,0,Education,2024-10-02T00:44:31Z
qh_-35QmNpI,1,0,0,0,Education,2024-10-02T00:44:31Z
zECh_Qnc_Oo,499,4,0,0,Science & Technology,2024-10-02T00:44:31Z
yPdvoUtv0iU,13,2,0,0,Education,2024-10-02T00:44:31Z
s1DBVZJDc2o,2,1,0,0,Gaming,2024-10-02T00:44:31Z
zu6tszRdrH4,57,3,0,0,Science & Technology,2024-10-02T00:44:31Z
fUB5LUQ02BI,27,7,0,0,Education,2024-10-02T00:44:31Z
Ftx_rqMiFco,8,0,0,0,Education,2024-10-02T00:44:31Z
Dz5JTL0LRjY,2,0,0,0,Gaming,2024-10-02T00:44:31Z
4xqaSEZzkhk,2,0,0,0,Education,2024-10-02T00:44:31Z
WGahKbDUEVA,70,3,0,0,People & Blogs,2024-10-02T00:44:31Z
kUpQ0jiLuBs,15,2,1,0,People & Blogs,2024-10-02T00:44:31Z
5BCuqKHbEgo,3,0,0,0,People & Blogs,2024-10-02T00:44:31Z
Rl7hNHdOrh0,10,1,0,0,Education,2024-10-02T00:44:31Z
JcbMsu0Xw5o,47,2,2,0,Gaming,2024-10-02T00:44:31Z
tepEtJib5XQ,532,17,0,0,Science & Technology,2024-10-02T00:44:31Z
dklvlJ4YDtM,4945,225,37,0,Science & Technology,2024-10-02T00:44:31Z
