Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
mb5ldcr1jbA,266046,1263,0,0,,2024-10-21T19:10:34Z
rtLGwJF9Jxc,88604,557,0,0,,2024-10-21T18:45:33Z
HAOgdVdSSkA,576583,0,6,0,,2024-10-21T18:41:24Z
WWeOBvAvwrY,21829,4059,532,0,,2024-10-21T18:31:26Z
WunqF6zQnbI,31961,1640,16,0,,2024-10-21T18:10:08Z
rm4qj0SJKKE,6134,1203,0,0,,2024-10-21T17:56:34Z
uDvNq7vtGnM,4031,164,28,0,,2024-10-21T17:38:38Z
p8SIBaDl9PE,69614,897,0,0,,2024-10-21T17:37:58Z
q_V96gv_IDA,93868,1267,0,0,,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,11103,497,1,0,,2024-10-21T17:24:21Z
CQMZndfGRWI,8241,1267,0,0,,2024-10-21T17:08:39Z
qX6MAp5qQrU,106761,6819,69,0,,2024-10-21T16:56:12Z
tcAExHTclc4,8824,68,0,0,,2024-10-21T16:22:16Z
95RPXz_h2Fw,11241,2528,145,0,,2024-10-21T16:13:57Z
6kKE4Rurmmk,6098,657,65,0,,2024-10-21T16:11:11Z
YRyo5vL6XsI,36363,5316,77,0,,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,144189,1117,134,0,,2024-10-21T15:52:42Z
JrD7QKy8PUI,353,19,1,0,,2024-10-21T15:51:16Z
f7v8WJgChU8,408,10,0,0,,2024-10-21T15:30:18Z
zToiY455lhQ,493219,111578,2395,0,,2024-10-21T15:06:25Z
uDVNRYxIMRE,72765,351,0,0,,2024-10-21T15:00:59Z
Yfcs9OPrQz8,108377,695,0,0,,2024-10-21T15:01:13Z
-n0waD4qzI4,10969,373,6,0,,2024-10-21T15:00:06Z
qfih0r0sq0c,27266,1073,7,0,,2024-10-21T14:44:32Z
NUzGaZkGTu4,79959,395,0,0,,2024-10-21T14:45:49Z
I1cPbwuMc3U,241020,635,2,0,,2024-10-21T14:29:42Z
3s6uanj_5DY,8515,655,65,0,,2024-10-21T14:26:44Z
XzW21Dj6PIQ,1771,193,3,0,,2024-10-21T14:15:02Z
bD-R-2DPzuc,518760,14171,215,0,,2024-10-21T14:05:31Z
f-Dvm17aVxk,6978,275,33,0,,2024-10-21T14:00:42Z
RzQpDaa2044,2186425,31280,33,0,,2024-10-21T13:32:11Z
Gs1r0uzedBw,1140,178,2,0,,2024-10-21T13:31:20Z
F4oaCRpuCtU,43216,323,46,0,,2024-10-21T13:28:10Z
ng_xV81XhHM,6304,35,56,0,,2024-10-21T13:03:08Z
yGLEpVbJm40,875459,27560,6858,0,,2024-10-21T13:01:10Z
lKwo4S2VA3c,41612,243,3,0,,2024-10-21T13:01:47Z
T0sPOtCwXio,955,255,14,0,,2024-10-21T12:55:26Z
6iG4Zp8HLOA,212067,4363,0,0,,2024-10-21T12:52:07Z
E-TA8hJIUk8,6616,277,16,0,,2024-10-21T12:40:42Z
gE4eK3He-7w,73805,3099,0,0,,2024-10-21T12:39:16Z
qWDt3sCTGFg,41209,2452,82,0,,2024-10-21T12:30:46Z
zZsgnPmP6lg,36141,3713,19,0,,2024-10-21T12:16:34Z
PYJ4do-OZAQ,72905,1508,0,0,,2024-10-21T12:11:16Z
_AlZYvis4uE,163845,1752,0,0,,2024-10-21T12:09:45Z
Nks9y_kpofE,24171,357,2,0,,2024-10-21T12:08:52Z
sMY2RlXdreo,28449,4515,164,0,,2024-10-21T12:01:12Z
u5us4Y5Q4AY,2612,620,8,0,,2024-10-21T12:01:11Z
jX9vfyAyELE,529,6,1,0,,2024-10-21T12:00:06Z
IXq9Ex6qLxY,21789,1084,87,0,,2024-10-21T11:53:17Z
00-9NCfhVF8,12171,1629,27,0,,2024-10-21T11:50:09Z
