Video ID,Session,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
mb5ldcr1jbA,1,273046,1273,0,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,1,93939,568,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,1,647685,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,1,41646,6085,998,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,1,52315,1747,27,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,1,21139,1824,88,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,1,4750,176,39,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,1,71933,900,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,1,101042,1303,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,1,11717,500,1,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,1,21155,2984,54,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,1,115065,6930,100,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,1,9163,70,0,0,Sports,2024-10-21T16:22:16Z
95RPXz_h2Fw,1,12727,2627,163,0,People & Blogs,2024-10-21T16:13:57Z
6kKE4Rurmmk,1,7085,693,77,0,Comedy,2024-10-21T16:11:11Z
YRyo5vL6XsI,1,38117,5411,81,0,Entertainment,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,1,149058,1126,135,0,News & Politics,2024-10-21T15:52:42Z
JrD7QKy8PUI,1,424,20,1,0,Education,2024-10-21T15:51:16Z
f7v8WJgChU8,1,440,10,0,0,Sports,2024-10-21T15:30:18Z
zToiY455lhQ,1,727135,125240,2512,0,People & Blogs,2024-10-21T15:06:25Z
uDVNRYxIMRE,1,75001,352,0,0,Film & Animation,2024-10-21T15:00:59Z
Yfcs9OPrQz8,1,147531,731,0,0,News & Politics,2024-10-21T15:01:13Z
-n0waD4qzI4,1,16245,412,6,0,Entertainment,2024-10-21T15:00:06Z
qfih0r0sq0c,1,27509,1079,7,0,Gaming,2024-10-21T14:44:32Z
NUzGaZkGTu4,1,81342,395,0,0,Film & Animation,2024-10-21T14:45:49Z
I1cPbwuMc3U,1,242422,636,2,0,News & Politics,2024-10-21T14:29:42Z
3s6uanj_5DY,1,9183,679,70,0,Comedy,2024-10-21T14:26:44Z
XzW21Dj6PIQ,1,2235,217,3,0,Sports,2024-10-21T14:15:02Z
bD-R-2DPzuc,1,602925,14554,216,0,News & Politics,2024-10-21T14:05:31Z
f-Dvm17aVxk,1,9425,303,38,0,Sports,2024-10-21T14:00:42Z
RzQpDaa2044,1,2198551,31306,34,0,Sports,2024-10-21T13:32:11Z
Gs1r0uzedBw,1,1462,196,3,0,Education,2024-10-21T13:31:20Z
F4oaCRpuCtU,1,45654,334,48,0,News & Politics,2024-10-21T13:28:10Z
ng_xV81XhHM,1,6365,35,56,0,News & Politics,2024-10-21T13:03:08Z
yGLEpVbJm40,1,1073201,29701,7367,0,News & Politics,2024-10-21T13:01:10Z
lKwo4S2VA3c,1,43167,245,4,0,News & Politics,2024-10-21T13:01:47Z
T0sPOtCwXio,1,1093,275,15,0,Gaming,2024-10-21T12:55:26Z
6iG4Zp8HLOA,1,220840,4425,0,0,News & Politics,2024-10-21T12:52:07Z
E-TA8hJIUk8,1,8472,297,19,0,Sports,2024-10-21T12:40:42Z
gE4eK3He-7w,1,111335,3326,0,0,News & Politics,2024-10-21T20:09:19Z
qWDt3sCTGFg,1,44174,2530,83,0,Entertainment,2024-10-21T12:30:46Z
zZsgnPmP6lg,1,36540,3736,19,0,Gaming,2024-10-21T12:16:34Z
PYJ4do-OZAQ,1,94314,1700,0,0,Entertainment,2024-10-21T12:11:16Z
_AlZYvis4uE,1,215762,1961,0,0,Entertainment,2024-10-21T12:09:45Z
Nks9y_kpofE,1,24255,358,2,0,Gaming,2024-10-21T12:08:52Z
sMY2RlXdreo,1,30083,4590,166,0,Music,2024-10-21T12:01:12Z
u5us4Y5Q4AY,1,3224,672,9,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,1,529,6,1,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,1,22119,1090,87,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,1,12343,1634,28,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,2,275310,1279,0,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,2,95521,572,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,2,650384,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,2,52620,6972,1173,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,2,56002,1824,38,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,2,41829,1652,129,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,2,5025,182,40,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,2,72208,901,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,2,104421,1338,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,2,11791,506,2,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,2,30472,3527,128,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,2,117156,7012,103,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,2,9268,75,0,0,Sports,2024-10-21T16:22:16Z
95RPXz_h2Fw,2,13125,2707,176,0,People & Blogs,2024-10-21T16:13:57Z
6kKE4Rurmmk,2,7483,704,82,0,Comedy,2024-10-21T16:11:11Z
YRyo5vL6XsI,2,38703,5485,84,0,Entertainment,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,2,149639,1134,144,0,News & Politics,2024-10-21T15:52:42Z
JrD7QKy8PUI,2,413,20,1,0,Education,2024-10-21T15:51:16Z
f7v8WJgChU8,2,440,10,0,0,Sports,2024-10-21T15:30:18Z
zToiY455lhQ,2,807003,132297,2574,0,People & Blogs,2024-10-21T15:06:25Z
uDVNRYxIMRE,2,75634,354,0,0,Film & Animation,2024-10-21T15:00:59Z
Yfcs9OPrQz8,2,154476,740,0,0,News & Politics,2024-10-21T15:01:13Z
-n0waD4qzI4,2,17718,401,6,0,Entertainment,2024-10-21T15:00:06Z
qfih0r0sq0c,2,27599,1082,7,0,Gaming,2024-10-21T14:44:32Z
NUzGaZkGTu4,2,81752,395,0,0,Film & Animation,2024-10-21T14:45:49Z
I1cPbwuMc3U,2,242588,637,2,0,News & Politics,2024-10-21T14:29:42Z
3s6uanj_5DY,2,9482,687,72,0,Comedy,2024-10-21T14:26:44Z
XzW21Dj6PIQ,2,2459,226,3,0,Sports,2024-10-21T14:15:02Z
bD-R-2DPzuc,2,616602,14659,217,0,News & Politics,2024-10-21T14:05:31Z
f-Dvm17aVxk,2,10543,322,43,0,Sports,2024-10-21T14:00:42Z
RzQpDaa2044,2,2200674,31311,34,0,Sports,2024-10-21T13:32:11Z
Gs1r0uzedBw,2,1572,209,3,0,Education,2024-10-21T13:31:20Z
F4oaCRpuCtU,2,46596,338,51,0,News & Politics,2024-10-21T13:28:10Z
ng_xV81XhHM,2,6374,35,56,0,News & Politics,2024-10-21T13:03:08Z
yGLEpVbJm40,2,1164984,31060,7651,0,News & Politics,2024-10-21T13:01:10Z
lKwo4S2VA3c,2,43787,247,4,0,News & Politics,2024-10-21T13:01:47Z
T0sPOtCwXio,2,1151,284,15,0,Gaming,2024-10-21T12:55:26Z
6iG4Zp8HLOA,2,224834,4459,0,0,News & Politics,2024-10-21T12:52:07Z
E-TA8hJIUk8,2,9221,307,21,0,Sports,2024-10-21T12:40:42Z
gE4eK3He-7w,2,128896,3440,0,0,News & Politics,2024-10-21T20:09:19Z
qWDt3sCTGFg,2,45434,2604,83,0,Entertainment,2024-10-21T12:30:46Z
zZsgnPmP6lg,2,36639,3743,19,0,Gaming,2024-10-21T12:16:34Z
PYJ4do-OZAQ,2,109951,1828,0,0,Entertainment,2024-10-21T12:11:16Z
_AlZYvis4uE,2,240438,2063,0,0,Entertainment,2024-10-21T12:09:45Z
Nks9y_kpofE,2,24275,359,2,0,Gaming,2024-10-21T12:08:52Z
sMY2RlXdreo,2,30750,4721,168,0,Music,2024-10-21T12:01:12Z
u5us4Y5Q4AY,2,3499,723,11,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,2,529,6,1,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,2,22242,1092,87,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,2,12428,1645,29,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,3,276646,1281,0,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,3,96689,579,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,3,651497,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,3,63200,7551,1300,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,3,58698,1897,45,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,3,51251,1837,156,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,3,5242,189,42,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,3,72317,901,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,3,107859,1354,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,3,11850,509,3,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,3,35153,3938,154,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,3,119167,7069,116,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,3,9364,75,0,0,Sports,2024-10-21T16:22:16Z
95RPXz_h2Fw,3,13567,2836,196,0,People & Blogs,2024-10-21T16:13:57Z
6kKE4Rurmmk,3,7859,720,92,0,Comedy,2024-10-21T16:11:11Z
YRyo5vL6XsI,3,39361,5548,87,0,Entertainment,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,3,149987,1144,152,0,News & Politics,2024-10-21T15:52:42Z
JrD7QKy8PUI,3,424,20,1,0,Education,2024-10-21T15:51:16Z
f7v8WJgChU8,3,454,11,0,0,Sports,2024-10-21T15:30:18Z
zToiY455lhQ,3,865426,138635,2633,0,People & Blogs,2024-10-21T15:06:25Z
uDVNRYxIMRE,3,76243,356,0,0,Film & Animation,2024-10-21T15:00:59Z
Yfcs9OPrQz8,3,159445,750,0,0,News & Politics,2024-10-21T15:01:13Z
-n0waD4qzI4,3,18768,406,7,0,Entertainment,2024-10-21T15:00:06Z
qfih0r0sq0c,3,27733,1084,8,0,Gaming,2024-10-21T14:44:32Z
NUzGaZkGTu4,3,82074,397,0,0,Film & Animation,2024-10-21T14:45:49Z
I1cPbwuMc3U,3,242663,637,2,0,News & Politics,2024-10-21T14:29:42Z
3s6uanj_5DY,3,9710,692,73,0,Comedy,2024-10-21T14:26:44Z
XzW21Dj6PIQ,3,2628,238,3,0,Sports,2024-10-21T14:15:02Z
bD-R-2DPzuc,3,622502,14718,217,0,News & Politics,2024-10-21T14:05:31Z
f-Dvm17aVxk,3,11324,337,44,0,Sports,2024-10-21T14:00:42Z
RzQpDaa2044,3,2202044,31318,34,0,Sports,2024-10-21T13:32:11Z
Gs1r0uzedBw,3,1667,220,3,0,Education,2024-10-21T13:31:20Z
F4oaCRpuCtU,3,47391,347,54,0,News & Politics,2024-10-21T13:28:10Z
ng_xV81XhHM,3,6407,36,56,0,News & Politics,2024-10-21T13:03:08Z
yGLEpVbJm40,3,1244587,32284,7746,0,News & Politics,2024-10-21T13:01:10Z
lKwo4S2VA3c,3,44225,248,6,0,News & Politics,2024-10-21T13:01:47Z
T0sPOtCwXio,3,1204,294,15,0,Gaming,2024-10-21T12:55:26Z
6iG4Zp8HLOA,3,228254,4471,0,0,News & Politics,2024-10-21T12:52:07Z
E-TA8hJIUk8,3,9925,317,21,0,Sports,2024-10-21T12:40:42Z
gE4eK3He-7w,3,136614,3491,0,0,News & Politics,2024-10-21T20:09:19Z
qWDt3sCTGFg,3,47320,2708,86,0,Entertainment,2024-10-21T12:30:46Z
zZsgnPmP6lg,3,36768,3750,20,0,Gaming,2024-10-21T12:16:34Z
PYJ4do-OZAQ,3,120397,2008,27,0,Entertainment,2024-10-21T22:35:01Z
_AlZYvis4uE,3,265181,2144,26,0,Entertainment,2024-10-21T22:21:01Z
Nks9y_kpofE,3,24289,360,2,0,Gaming,2024-10-21T12:08:52Z
sMY2RlXdreo,3,31693,4908,173,0,Music,2024-10-21T12:01:12Z
u5us4Y5Q4AY,3,3793,781,12,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,3,713,6,1,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,3,22349,1101,88,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,3,12514,1650,29,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,4,277496,1287,0,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,4,97763,580,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,4,652396,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,4,69873,7931,1387,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,4,60872,1953,51,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,4,56860,1784,210,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,4,5425,192,45,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,4,72396,902,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,4,110246,1361,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,4,11949,510,3,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,4,39019,4298,184,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,4,120798,7109,118,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,4,9428,75,0,0,Sports,2024-10-21T16:22:16Z
95RPXz_h2Fw,4,14104,2951,219,0,People & Blogs,2024-10-21T16:13:57Z
6kKE4Rurmmk,4,8142,732,96,0,Comedy,2024-10-21T16:11:11Z
YRyo5vL6XsI,4,39878,5599,88,0,Entertainment,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,4,150463,1168,164,0,News & Politics,2024-10-21T15:52:42Z
JrD7QKy8PUI,4,436,21,1,0,Education,2024-10-21T15:51:16Z
f7v8WJgChU8,4,458,12,0,0,Sports,2024-10-21T15:30:18Z
zToiY455lhQ,4,914746,144201,2665,0,People & Blogs,2024-10-21T15:06:25Z
uDVNRYxIMRE,4,76738,359,0,0,Film & Animation,2024-10-21T15:00:59Z
Yfcs9OPrQz8,4,162136,758,0,0,News & Politics,2024-10-21T15:01:13Z
-n0waD4qzI4,4,19287,410,7,0,Entertainment,2024-10-21T15:00:06Z
qfih0r0sq0c,4,27896,1084,8,0,Gaming,2024-10-21T14:44:32Z
NUzGaZkGTu4,4,82307,397,0,0,Film & Animation,2024-10-21T14:45:49Z
I1cPbwuMc3U,4,242780,636,2,0,News & Politics,2024-10-21T14:29:42Z
3s6uanj_5DY,4,9883,700,74,0,Comedy,2024-10-21T14:26:44Z
XzW21Dj6PIQ,4,2754,246,3,0,Sports,2024-10-21T14:15:02Z
bD-R-2DPzuc,4,625980,14768,217,0,News & Politics,2024-10-21T14:05:31Z
f-Dvm17aVxk,4,12151,356,47,0,Sports,2024-10-21T14:00:42Z
RzQpDaa2044,4,2202841,31322,35,0,Sports,2024-10-21T13:32:11Z
Gs1r0uzedBw,4,1767,233,3,0,Education,2024-10-21T13:31:20Z
F4oaCRpuCtU,4,48181,363,54,0,News & Politics,2024-10-21T13:28:10Z
ng_xV81XhHM,4,6427,37,56,0,News & Politics,2024-10-21T13:03:08Z
yGLEpVbJm40,4,1314839,33231,7978,0,News & Politics,2024-10-21T13:01:10Z
lKwo4S2VA3c,4,44606,250,6,0,News & Politics,2024-10-21T13:01:47Z
T0sPOtCwXio,4,1236,303,15,0,Gaming,2024-10-21T12:55:26Z
6iG4Zp8HLOA,4,230085,4458,0,0,News & Politics,2024-10-21T12:52:07Z
E-TA8hJIUk8,4,10252,321,22,0,Sports,2024-10-21T12:40:42Z
gE4eK3He-7w,4,141423,3525,0,0,News & Politics,2024-10-21T20:09:19Z
qWDt3sCTGFg,4,49160,2778,88,0,Entertainment,2024-10-21T12:30:46Z
zZsgnPmP6lg,4,36876,3757,20,0,Gaming,2024-10-21T12:16:34Z
PYJ4do-OZAQ,4,141088,2095,85,0,Entertainment,2024-10-21T22:35:01Z
_AlZYvis4uE,4,297948,2196,84,0,Entertainment,2024-10-21T22:21:01Z
Nks9y_kpofE,4,24321,361,2,0,Gaming,2024-10-21T12:08:52Z
sMY2RlXdreo,4,33026,5065,176,0,Music,2024-10-21T12:01:12Z
u5us4Y5Q4AY,4,4062,821,12,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,4,713,6,1,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,4,22458,1109,93,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,4,12620,1652,30,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,5,278589,1300,0,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,5,98531,583,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,5,653621,0,6,0,News & Politics,2024-10-21T18:41:24Z
