Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
JbD9BbLIGC4,66,2,0,0,26,2024-11-22T21:35:00Z
wRmqEd15fjA,23424,2906,4,0,20,2024-11-22T19:09:58Z
2I-vfJD9XIA,6504,1826,60,0,24,2024-11-22T19:00:02Z
XtrtLQIm6lw,759,14,0,0,25,2024-11-22T18:54:29Z
bRPEPPclIsk,64806,2166,20,0,20,2024-11-22T18:39:49Z
l6tQKeCMIP0,68197,6532,112,0,24,2024-11-22T17:45:23Z
DkxkmpJgZ9E,55924,2867,15,0,25,2024-11-22T17:43:27Z
4N_RGOsBCG0,97953,2509,23,0,20,2024-11-22T17:04:43Z
aZcXc8VGic8,7881,541,46,0,17,2024-11-22T17:03:28Z
pDrD73iohmA,19645,2809,248,0,10,2024-11-22T17:00:06Z
k1aBxjecYbI,38160,4076,179,0,17,2024-11-22T16:55:16Z
FeW05hxxlJs,207090,17458,1994,0,22,2024-11-22T16:33:33Z
smOho7P7MQw,9651,1229,5,0,17,2024-11-22T16:31:28Z
FSlITfIpSpI,51368,766,86,0,28,2024-11-22T16:21:51Z
8UvhLxKKxOk,46489,7552,223,0,24,2024-11-22T16:19:30Z
QJwlYlbgVKQ,49772,5352,89,0,22,2024-11-22T16:09:41Z
qlw5PKL0fnk,25996,884,120,0,25,2024-11-22T16:08:59Z
dFQ9LSzpjHg,3932,267,96,0,24,2024-11-22T16:00:06Z
G9ApWvFP34c,132066,8141,2366,0,25,2024-11-22T16:00:06Z
NW7UmjFw2bk,1153,28,2,0,25,2024-11-22T15:48:04Z
p6rUQYK5uiU,103345,1475,0,0,25,2024-11-22T15:12:38Z
QSah7ZfO1js,3425,1025,0,0,22,2024-11-22T15:10:43Z
O7oi-LN7Apw,1178761,33115,2081,0,28,2024-11-22T15:00:23Z
G--Mr-nSEOI,2392,270,31,0,20,2024-11-22T15:00:15Z
TYFK_SMs45Y,64918,2612,0,0,22,2024-11-22T14:47:11Z
bRBND2kZ-xw,7001,466,11,0,1,2024-11-22T14:45:03Z
CM4dxl2d3c8,108797,508,4,0,25,2024-11-22T14:46:22Z
G3TpRT78gFs,6844,218,8,0,25,2024-11-22T14:46:05Z
HRKMFuEOZPA,295911,1028,0,0,25,2024-11-22T14:39:58Z
i25b--m63UU,110931,7293,98,0,20,2024-11-22T14:39:45Z
